tamanho;tempo_malloqueiro;tempo_malloc
1024;0.0350000001;0.0080000004
2048;0.0350000001;0.0100000007
3072;0.0270000007;0.0080000004
4096;0.0310000014;0.0100000007
5120;0.0340000018;0.0120000001
6144;0.0390000008;0.0130000003
7168;0.0440000035;0.0150000006
8192;0.0490000024;0.0170000009
9216;0.0540000014;0.0180000011
10240;0.0570000038;0.0190000013
11264;0.0620000027;0.0210000016
12288;0.0670000017;0.0230000019
13312;0.0710000023;0.0320000015
14336;0.0740000010;0.0270000007
15360;0.0800000057;0.0280000009
16384;0.0840000063;0.0290000010
17408;0.0880000070;0.0320000015
18432;0.0930000022;0.0329999998
19456;0.0970000029;0.0340000018
20480;0.1020000055;0.0370000005
21504;0.1070000082;0.0380000025
22528;0.1110000089;0.0390000008
23552;0.1160000041;0.0410000011
24576;0.1200000048;0.0430000015
25600;0.1340000033;0.0450000018
26624;0.1300000101;0.0460000038
27648;0.1319999993;0.0480000004
28672;0.1370000094;0.0490000024
29696;0.1420000046;0.0510000028
30720;0.1460000128;0.0520000011
31744;0.1510000080;0.0540000014
32768;0.1550000012;0.0550000034
33792;0.1540000141;0.1570000052
34816;0.1580000073;0.1980000138
35840;0.1640000045;0.1620000005
36864;0.1660000086;0.1660000086
37888;0.1700000018;0.1700000018
38912;0.1750000119;0.1760000139
39936;0.1790000051;0.1890000105
40960;0.1960000098;0.1840000153
41984;0.1880000085;0.1880000085
43008;0.1920000017;0.1920000017
44032;0.1960000098;0.1960000098
45056;0.2010000050;0.2010000050
46080;0.2060000151;0.2060000151
47104;0.2270000130;0.2330000103
48128;0.2260000110;0.2280000150
49152;0.2180000097;0.2190000117
50176;0.2250000089;0.1620000005
51200;0.1650000066;0.1650000066
52224;0.1680000126;0.1690000147
53248;0.1700000018;0.1720000058
54272;0.1740000099;0.1740000099
55296;0.1770000011;0.1770000011
56320;0.1800000072;0.1800000072
57344;0.1840000153;0.1830000132
58368;0.1860000044;0.1860000044
59392;0.1890000105;0.1900000125
60416;0.1920000017;0.2200000137
61440;0.1410000026;0.1200000048
62464;0.1220000088;0.1260000020
63488;0.1170000061;0.1160000041
64512;0.1190000027;0.1190000027
65536;0.1210000068;0.1280000061
66560;0.1430000067;0.1450000107
67584;0.1540000141;0.1580000073
68608;0.1300000101;0.1610000134
69632;0.1620000005;0.1310000122
70656;0.1340000033;0.1660000086
71680;0.1319999993;0.1420000046
72704;0.1400000006;0.1610000134
73728;0.1430000067;0.1420000046
74752;0.1440000087;0.1730000079
75776;0.1460000128;0.1460000128
76800;0.1490000039;0.1480000019
77824;0.1500000060;0.1500000060
78848;0.1520000100;0.1520000100
79872;0.1540000141;0.1540000141
80896;0.1550000012;0.1550000012
81920;0.1580000073;0.1570000052
82944;0.1590000093;0.1640000045
83968;0.1520000100;0.1530000120
84992;0.1540000141;0.1550000012
86016;0.1560000032;0.1560000032
87040;0.1580000073;0.1580000073
88064;0.2780000269;0.3920000196
89088;0.4250000119;0.5420000553
90112;0.5100000501;0.3690000176
91136;0.3700000048;0.3820000291
92160;0.3960000277;0.4340000153
93184;0.3370000124;0.3370000124
94208;0.3410000205;0.3410000205
95232;0.3440000117;0.3440000117
96256;0.3470000029;0.3460000157
97280;0.3510000110;0.3500000238
98304;0.3550000191;0.3690000176
99328;0.3940000236;0.3690000176
100352;0.3610000312;0.3620000184
101376;0.3660000265;0.4070000052
102400;0.4750000238;0.3690000176
103424;0.3720000088;0.3810000122
104448;0.3760000169;0.4370000064
105472;0.4360000193;0.3800000250
106496;0.3820000291;0.3830000162
107520;0.3860000074;0.3860000074
108544;0.3900000155;0.3070000112
109568;0.2070000172;0.2090000063
110592;0.1980000138;0.1980000138
111616;0.2000000030;0.1990000159
112640;0.2020000070;0.2020000070
113664;0.2030000091;0.2030000091
114688;0.2060000151;0.2050000131
115712;0.2070000172;0.2070000172
116736;0.2090000063;0.2090000063
117760;0.2120000124;0.2220000178
118784;0.2300000042;0.2120000124
119808;0.2150000036;0.2140000165
120832;0.2170000076;0.2160000056
121856;0.2180000097;0.2190000117
122880;0.2470000088;0.2360000163
123904;0.2230000049;0.2220000178
124928;0.2240000069;0.2240000069
125952;0.2260000110;0.2260000110
126976;0.2280000150;0.2560000122
128000;0.2300000042;0.2300000042
129024;0.2300000042;0.2310000062
130048;0.2330000103;0.2330000103
131072;0.2350000143;0.2350000143
132096;0.2360000163;0.2360000163
133120;0.2380000055;0.2390000075
134144;0.2800000012;0.2400000095
135168;0.2420000136;0.2680000067
